접수번호	이름/생년월일	기본운임/좌석구분	출발일자	목적지
RP2302	최정오/2013-05-23	422,000/일반석	2023-03-04	도쿄
RP2310	정봉오/2008-05-06	315,000/할인석	2023-05-22	도쿄
RP2306	이미진/1995-05-20	364,000/일반석	2023-01-09	뉴델리
RP2323	강현오/1999-04-07	290,000/할인석	2023-08-20	광저우
RP2311	김발솔/2003-11-11	382,000/비즈니스석	2023-02-14	베이징
RP2307	이수태/2000-05-15	440,000/일반석	2023-07-16	광저우
RP2315	박승솔/2010-02-15	152,000/일반석	2023-03-02	광저우
RP2319	이현묘/2013-11-05	329,000/비즈니스석	2023-07-25	베이징
RP2301	강오언/2010-02-18	287,000/비즈니스석	2023-11-17	상하이
RP2325	최종미/1985-07-01	251,000/일반석	2023-01-26	상하이
RP2309	이원아/2000-03-20	159,000/비즈니스석	2023-02-13	상하이
RP2320	박샘해/1989-03-13	179,000/할인석	2023-10-13	싱가포르
RP2321	정준전/2008-10-31	174,000/할인석	2023-04-04	홍콩
RP2304	이동숙/2014-07-10	53,000/비즈니스석	2023-03-17	싱가포르
RP2330	한샘지/2010-11-12	432,000/할인석	2023-11-25	뉴델리
RP2308	서생진/1989-05-02	316,000/일반석	2023-05-23	마닐라
RP2314	최미한/1997-01-11	255,000/일반석	2023-10-16	뉴델리
RP2322	박언진/1989-09-09	130,000/일반석	2023-08-01	뉴델리
RP2329	정준전/2008-03-30	136,000/할인석	2023-11-25	홍콩
RP2303	박동리/1985-06-07	395,000/할인석	2023-09-04	베이징
RP2326	한현전/1998-08-18	162,000/비즈니스석	2023-03-16	도쿄
RP2327	강종동/2009-11-23	143,000/일반석	2023-05-15	베이징
RP2316	강장철/2000-06-13	60,000/일반석	2023-05-19	마닐라
RP2305	강정정/1985-05-14	243,000/비즈니스석	2023-07-14	홍콩
RP2317	김발솔/1987-11-30	44,000/일반석	2023-06-05	상하이
RP2318	김진준/2007-11-04	400,000/할인석	2023-06-01	도쿄
RP2328	한현진/2014-02-14	446,000/일반석	2023-02-07	싱가포르
RP2312	한대용/1987-12-04	322,000/비즈니스석	2023-01-10	싱가포르
RP2313	박준아/1999-05-01	54,000/일반석	2023-10-27	홍콩
RP2324	김진준/2006-01-26	123,000/일반석	2023-04-10	마닐라
